seed,dataset,n,dice,iou,precision,recall,f2,pointing_game,peak_center_dist
0,Kvasir test,100,0.865071,0.797288,0.894668,0.883919,0.87292,0.98,32.912701
0,CVC external,612,0.761015,0.674925,0.782355,0.812811,0.781262,0.941176,30.922574
1,Kvasir test,100,0.839043,0.77397,0.885411,0.840605,0.836401,0.97,45.37402
1,CVC external,612,0.744614,0.668266,0.807091,0.766242,0.751733,0.915033,45.337801
2,Kvasir test,100,0.867503,0.79754,0.890994,0.88585,0.873621,0.97,40.198575
2,CVC external,612,0.772695,0.686552,0.813965,0.801778,0.782746,0.94281,39.87874
3,Kvasir test,100,0.856409,0.78223,0.900744,0.855033,0.852884,0.98,44.878383
3,CVC external,612,0.684631,0.610288,0.786096,0.678417,0.675648,0.875817,49.760052
4,Kvasir test,100,0.852733,0.780512,0.862729,0.886869,0.867265,0.99,38.164247
4,CVC external,612,0.762588,0.676533,0.772252,0.826652,0.789261,0.934641,38.848884
5,Kvasir test,100,0.849173,0.783746,0.875059,0.870292,0.857828,0.97,34.562378
5,CVC external,612,0.763125,0.67753,0.794431,0.807478,0.780768,0.939542,34.22303
6,Kvasir test,100,0.870295,0.801544,0.903093,0.872574,0.868198,0.98,42.177635
6,CVC external,612,0.762876,0.683791,0.827552,0.770397,0.762807,0.926471,41.899436
7,Kvasir test,100,0.822793,0.741746,0.842648,0.86701,0.841328,0.98,41.692058
7,CVC external,612,0.689279,0.599137,0.716669,0.755103,0.716202,0.898693,41.530759
8,Kvasir test,100,0.865739,0.796171,0.884026,0.887558,0.87317,0.98,39.34415
8,CVC external,612,0.773687,0.690516,0.803982,0.814413,0.789972,0.937908,34.797001
9,Kvasir test,100,0.854409,0.782866,0.891045,0.867292,0.858311,0.98,43.643703
9,CVC external,612,0.747068,0.667023,0.787046,0.784135,0.760417,0.919935,42.153012
